Driver,Compound,TyreLife,LapNumber,LapTimeS
ALB,SOFT,2,2,99.821
ALB,SOFT,3,3,98.699
ALB,SOFT,4,4,99.056
ALB,SOFT,5,5,99.257
ALB,SOFT,6,6,99.263
ALB,SOFT,7,7,99.565
ALB,SOFT,8,8,99.918
ALB,SOFT,9,9,99.735
ALB,SOFT,10,10,100.089
ALB,SOFT,11,11,99.843
ALB,SOFT,12,12,99.94
ALB,SOFT,13,13,100.144
ALB,SOFT,14,14,100.326
ALB,SOFT,15,15,100.821
ALB,HARD,2,18,97.209
ALB,HARD,3,19,98.209
ALB,HARD,4,20,97.673
ALB,HARD,5,21,98.047
ALB,HARD,6,22,98.474
ALB,HARD,7,23,97.884
ALB,HARD,8,24,98.023
ALB,HARD,9,25,98.591
ALB,HARD,10,26,98.698
ALB,HARD,11,27,98.707
ALB,HARD,12,28,98.83
ALB,HARD,13,29,98.148
ALB,HARD,14,30,99.164
ALB,HARD,15,31,99.781
ALB,MEDIUM,4,36,99.068
ALB,MEDIUM,5,37,97.615
ALB,MEDIUM,6,38,97.871
ALB,MEDIUM,7,39,98.87
ALB,MEDIUM,8,40,97.631
ALB,MEDIUM,9,41,97.504
ALB,MEDIUM,10,42,97.702
ALB,MEDIUM,11,43,97.667
ALB,MEDIUM,12,44,97.647
ALB,MEDIUM,13,45,97.696
ALB,MEDIUM,14,46,98.333
ALB,MEDIUM,15,47,97.141
ALB,MEDIUM,16,48,97.544
ALB,MEDIUM,17,49,97.627
ALB,MEDIUM,18,50,97.863
ALB,MEDIUM,19,51,97.81
ALB,MEDIUM,20,52,98.581
ALB,MEDIUM,21,53,98.427
ALB,MEDIUM,22,54,98.614
ALB,MEDIUM,23,55,98.816
ALB,MEDIUM,24,56,99.22
ALB,MEDIUM,25,57,99.664
ALO,MEDIUM,2,2,100.514
ALO,MEDIUM,3,3,100.017
ALO,MEDIUM,4,4,99.318
ALO,MEDIUM,5,5,100.555
ALO,MEDIUM,6,6,99.589
ALO,MEDIUM,7,7,99.919
ALO,MEDIUM,8,8,100.195
ALO,MEDIUM,9,9,100.234
ALO,MEDIUM,10,10,100.369
